id_proc_compra,processo_sipac,data_cadastro,titulo,id_modalidade,modalidade,data_abertura,data_envio_lic,id_tipo_compra,tipo_compra,id_status,status,id_unidade_gestora,unidade_gestora,valor_estimado_itens_homologado,valor_real,mes_referencia
5989,23076.27900/2023-60,2023-03-24 19:03:30.474,PREGÃO Nº.: 23/2023 - MARAVALHA E RAÇÃO,6,PREGÃO,2023-07-11 14:00:00.000,2023-06-27 12:22:17.436,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,1352598.0,318147.92,04/2024
58,23076.51584/2015-98,2017-09-13 14:50:20.065,MATERIAL DE LABORATÓRIO ,6,PREGÃO,2016-03-04 14:00:00.000,2017-09-15 15:12:16.954,7,MATERIAIS E SERVIÇOS,505,FINALIZADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,44107.0,30423.0,04/2024
38,23076.2765/2017-52,2017-07-19 16:58:20.161,"AQUISIÇÃO DE GÊ NEROS ALIMENTÍCIO ( CAFE, AÇÚCAR E ADOÇANTE)",6,PREGÃO,2017-08-08 09:00:00.000,2017-07-19 17:56:13.756,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,90690.22,82018.88,04/2024
54,23076.47382/2016-22,2017-08-25 09:51:38.399,SERVIÇO DE LIMPEZA E DESINFECÇÃO QUÍMICA DE CAIXAS D'ÁGUA E CISTERNAS,6,PREGÃO,2017-09-11 09:00:00.000,2017-08-25 09:51:38.399,5,SERVIÇO GERAIS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,232852.54,139969.51,04/2024
986,23076.15983/2017-57,2018-10-01 14:23:51.152," SERVIÇOS DE CONFECÇÃO DE IMPRESSOS , SERVIÇOS DE DIAGRAMAÇÃO E AQUISIÇÃO DE OBJETOS PERSONLIZADOS",6,PREGÃO,2018-10-30 09:00:00.000,2019-01-23 16:58:05.114,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,3362291.52,982996.49,04/2024
103,23076.46549/2017-19,2018-04-16 09:07:37.207,MATERIAL DE EXPEDIENTE,6,PREGÃO,2018-05-03 09:02:00.000,2018-04-16 09:38:48.353,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,1227201.722,697807.98,04/2024
1762,23076.10044/2018-5,2018-12-06 09:37:58.616,MATERIAL DE CONSTRUÇÃO,6,PREGÃO,2018-10-09 08:01:00.000,2018-12-06 09:37:58.616,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,77805.7,73175.75,04/2024
1963,23076.13144/2019-66,2019-03-22 15:00:00.462,FORNECIMENTO E ABASTECIMENTO DE COMBUSTÍVEL TIPO ÓLEO DIESEL S10 PARA OS GERADORES DA UFPE.,6,PREGÃO,,,7,MATERIAIS E SERVIÇOS,506,CANCELADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,204120.0,0.0,04/2024
1850,23076.8080/2017-10,2018-12-18 16:50:33.102,TESTE - CUSTOMIZAÇÃO DO SIPAC,6,PREGÃO,,,7,MATERIAIS E SERVIÇOS,501,CADASTRADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,521463.0,0.0,04/2024
877,23076.7374/2017-24,2018-09-14 16:48:33.421,"TR 011-2017 - MATERIAIS ELÉTRICOS (ELETRODUTOS, ELETROCALHAS E ACESSÓRIOS)",6,PREGÃO,2018-10-19 09:00:00.000,2018-12-21 09:38:47.241,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,174036.0,70691.7,04/2024
1914,23076.4795/2019-65,2019-01-29 15:08:57.211,PERIFÉRICOS DE INFORMÁTICA,6,PREGÃO,2019-02-18 09:03:00.000,2019-01-29 15:08:57.211,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,140280.3,97748.35,04/2024
93,23076.6884/2017-84,2018-04-02 11:27:48.617,AR CONDICIONADO SPLIT COM INSTALAÇÃO,6,PREGÃO,,,1,SERVIÇO,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,7293110.0,0.0,04/2024
25,23076.46419/2016-3,2017-04-12 11:31:48.208,SERVIÇO DE SUCÇÃO DE DESEJOS E LIMPEZA DE FOSSAS,6,PREGÃO,,2017-04-12 11:31:48.208,1,SERVIÇO,501,CADASTRADO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,41899.8,0.0,04/2024
17,23076.22222/2016-71,2016-05-19 17:44:09.963,ÁGUA MINERAL 20 LITROS,6,PREGÃO,,2016-05-19 17:44:09.963,1,SERVIÇO,506,CANCELADO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,711000.0,0.0,04/2024
14,23076.21711/2016-13,2016-05-12 12:17:39.606,"PAPÉIS DE DIFERENTES TIPOS, TAMANHOS E GRAMATURAS",6,PREGÃO,,2016-05-12 12:17:39.606,1,SERVIÇO,506,CANCELADO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,1360042.1,0.0,04/2024
10,23076.9589/2015-18,2016-01-04 13:00:49.668,ÁGUA MINERAL 20 LITROS,6,PREGÃO,,2016-01-14 14:47:39.061,1,SERVIÇO,506,CANCELADO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,519820.0,0.0,04/2024
12,23076.12422/2016-15,2016-03-04 14:09:05.819,"ÁLCOOL 70%, FORMOL, CLOREXIDINA, IODOPOVIDONA E ÁCIDO PERACÉTICO",6,PREGÃO,,2016-03-04 14:09:05.819,1,SERVIÇO,506,CANCELADO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,128478.0,0.0,04/2024
70,23076.49698/2016-59,2017-11-07 09:19:17.854,"SERVIÇO DE COLETA, TRANSPORTE, DESCONTAMINAÇÃO E DESTINAÇÃO FINAL DE LÂMPADAS INSERVIVEIS",6,PREGÃO,,2017-11-07 09:19:17.854,1,SERVIÇO,502,LICITAÇÃO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,73500.0,0.0,04/2024
36,23076.13353/2015-86,2017-07-04 10:33:09.262,PERIFÉRICOS PARA PROCESSAMENTO DE DADOS,6,PREGÃO,,2017-07-04 10:51:50.503,7,MATERIAIS E SERVIÇOS,506,CANCELADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,471156.37,0.0,04/2024
34,23076.7315/2017-56,2017-06-29 10:38:16.062,MARAVALHA E RAÇÃO PARA BIOTÉRIOS,6,PREGÃO,2017-07-18 09:00:00.000,2017-06-29 10:43:27.149,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,903363.8,573409.6,04/2024
29,23076.44495/2015-95,2017-05-19 11:59:37.499,AQUISIÇÃO DE MATERIAIS NECESSÁRIOS A RECOMPOSIÇÃO DO SISTEMA DE MEDIÇÃO DA CABINE 1 DA UFPE,6,PREGÃO,,,7,MATERIAIS E SERVIÇOS,501,CADASTRADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,29034.41,0.0,04/2024
24,23076.29084/2016-51,2017-04-07 16:00:06.171,"SERVIÇO DE ACONDICIONAMENTO, COLETA, TRANSPORTE E DESTINAÇÃO FINAL DOS RESÍDUOS SÓLIDOS DO GRUPO D",6,PREGÃO,,2017-05-10 14:47:18.131,1,SERVIÇO,502,LICITAÇÃO,774,PRO-REITORIA DE GESTÃO ADMINISTRATIVA - PROGEST,996999.6,0.0,04/2024
1907,23076.1013/2019-36,2019-01-10 09:40:45.433,PROCESSO ANTIGO 23076.024300/2018-33,6,PREGÃO,2018-11-08 10:00:00.000,2019-01-22 10:38:34.836,7,MATERIAIS E SERVIÇOS,503,JULGADO,605,UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE,34199.45,29500.65,04/2024
